============================================================
중력 탐사 자료 처리 결과
============================================================

측정점 개수: 20
측정 거리: 0.0m ~ 190.0m

역산 결과:
  - 풍화대 두께: 7.21 m
  - 풍화대 밀도: 1841.35 kg/m³
  - 배경 암석 밀도: 2000 kg/m³
  - 밀도 대비: -158.65 kg/m³
  - RMS 오차: 0.3603 mgal

부게 이상 데이터:
위치(m)  부게이상(mgal)  계산값(mgal)  잔차(mgal)
   0.0          0.0000         0.0000       0.0000
  10.0          0.1046         0.0000       0.1046
  20.0          0.2378         0.0000       0.2378
  30.0          0.3848         0.0000       0.3848
  40.0          0.5064         0.0000       0.5064
  50.0          0.5502        -0.0240       0.5742
  60.0          0.4896        -0.0308       0.5204
  70.0          0.3503        -0.0374       0.3877
  80.0          0.1839        -0.0429       0.2268
  90.0          0.0281        -0.0467       0.0748
 100.0         -0.1039        -0.0480      -0.0560
 110.0         -0.2144        -0.0467      -0.1677
 120.0         -0.3083        -0.0429      -0.2654
 130.0         -0.3846        -0.0374      -0.3473
 140.0         -0.4336        -0.0308      -0.4028
 150.0         -0.4499        -0.0240      -0.4259
 160.0         -0.4448         0.0000      -0.4448
 170.0         -0.4346         0.0000      -0.4346
 180.0         -0.4278         0.0000      -0.4278
 190.0         -0.4256         0.0000      -0.4256
